problem all-paca cedalion cgamer-bd dpmplan dynamic-gamer gamer hflow hpp hpp-ce metis miplan nucelar rida rlazya spmas symba-1 symba-2 Best
m.1.3.010.010.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.010.010.1-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.010.010.2-000 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 4
m.1.3.010.010.2-001 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 7
m.1.3.010.010.2-002 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 6
m.1.3.015.020.1-000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.015.020.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.015.020.1-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.015.020.2-000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.015.020.2-001 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 11
m.1.3.015.020.2-002 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 9
m.1.3.025.050.1-000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.050.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.050.1-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.1-000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.1-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.2-000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.2-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
m.1.3.025.100.2-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
