problem all-paca cedalion cgamer-bd dpmplan dynamic-gamer gamer hflow hpp hpp-ce metis miplan nucelar rida rlazya spmas symba-1 symba-2 Best
p_14_8-01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_14_8-02 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 22
p_14_8-03 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 21
p_14_8-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_16_9-01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_16_9-02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_16_9-03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_16_9-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_18_10-01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_18_10-02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_18_10-03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_18_10-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_20_11-01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_20_11-02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_20_11-03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_20_11-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p_12_7-01 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 0 18
p_12_7-02 1 0 1 1 0 0 0 0 0 1 0 1 1 1 1 0 0 18
p_12_7-03 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 0 17
p_12_7-04 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 19
	
