problem all-paca cedalion cgamer-bd dpmplan dynamic-gamer gamer hflow hpp hpp-ce metis miplan nucelar rida rlazya spmas symba-1 symba-2 Best
p01-10 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 47
p01-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p01-6 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 30
p01-8 0 0 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 36
p02-10 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 49
p02-4 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 10
p02-6 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 30
p02-8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 39
p03-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p03-4 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 11
p03-6 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 21
p03-8 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 48
p04-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p04-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p04-6 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 27
p04-8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p05-10 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66
p05-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
p05-6 1 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1 19
p05-8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
